TIMESTAMP,TA_F,TA_F_QC,SW_IN_POT,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,P_F,P_F_QC,WS_F,WS_F_QC,USTAR,USTAR_QC,PPFD_IN,PPFD_IN_QC,PPFD_DIF,PPFD_DIF_QC,PPFD_OUT,PPFD_OUT_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_1_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_RANDUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_RANDUNC,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,RECO_NT_VUT_REF,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,GPP_NT_VUT_REF,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,RECO_DT_VUT_REF,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,GPP_DT_VUT_REF,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,RECO_SR,RECO_SR_N
200901,1.987,0.0,200.043,97.984,0.0,270.554,0.0,4.535,0.0,77.896,0.0,1.623,0.0,5.337,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,24.4881,0.0,-9999,-9999,94.294,0.0,-9999,-9999,0.234486,0.0,-9999,0.211166,0.229883,0.244641,0.0,0.0,0.0,0.0715371,0.0529422,0.0628891,0.0782424,-0.158859,-0.184867,-0.158859,-0.147533,0.507492,0.391554,0.424327,0.571197,0.0,0.0,0.139408,0.164511,-9999,-9999
200902,3.055,0.0,259.355,145.923,0.0,271.319,0.0,4.809,0.0,77.763,0.0,2.728,0.0,5.346,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,24.2899,0.0,-9999,-9999,93.8384,0.0,-9999,-9999,0.238873,0.0,-9999,0.214703,0.232603,0.248387,0.0,0.0,0.0,0.0769062,0.0570153,0.0662289,0.0831123,-0.15828,-0.184965,-0.15828,-0.146055,0.541743,0.4338,0.444962,0.606286,0.0,0.0,0.207193,0.244471,-9999,-9999
200903,5.401,0.0,338.369,199.26,0.0,287.624,0.0,5.487,0.0,77.778,0.0,2.043,0.0,5.609,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,24.3425,0.0,-9999,-9999,93.7418,0.0,-9999,-9999,0.220172,0.0,-9999,0.196628,0.214213,0.230469,0.0,0.0,0.0,0.0895911,0.0666827,0.0752995,0.0921686,-0.130392,-0.155849,-0.130392,-0.116578,0.621181,0.454725,0.552363,0.681759,0.0,0.0,0.282416,0.333192,-9999,-9999
200904,6.494,0.0,413.28,260.029,0.0,293.225,0.0,6.237,0.0,77.729,0.0,0.822,0.0,5.368,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,4.65966,0.05,24.3763,0.0,-9999,-9999,93.9621,0.0,-9999,-9999,0.230921,0.0,-9999,0.207259,0.225332,0.240925,0.0,0.0,0.0,0.0957935,0.0714247,0.0816016,0.0962508,-0.136196,-0.161407,-0.136196,-0.122287,0.659531,0.463913,0.613578,0.714691,0.0,0.0,0.368014,0.434144,-9999,-9999
200905,10.801,0.0819892,464.188,312.22,0.0833333,328.895,0.0,8.04,0.0819892,77.883,0.0759409,0.186,0.0,5.232,0.0766129,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,4.89658,0.0,24.3035,0.081317,-9999,0.845185,94.3287,0.081317,-9999,1.14987,0.225464,0.0813172,0.0243167,0.202083,0.219993,0.234097,0.0813172,0.0813172,0.0813172,0.122215,0.0920479,0.108841,0.122014,-0.110035,-0.132681,-0.110129,-0.0941855,0.790036,0.537301,0.751447,0.853378,0.0,0.0,0.407155,0.480286,-9999,-9999
200906,14.626,1.0,484.95,358.364,1.0,369.017,0.0,10.958,1.0,77.926,1.0,0.105,0.0,5.326,1.0,0.502196993092,0.998611111111,687.629911791,0.998611111111,689.844354167,1.0,78.6521111111,1.0,362.641,1.0,19.177,1.0,4.67971,0.134722,27.9566,0.999306,-9999,0.803907,102.948,1.0,-9999,0.939761,0.667959,1.0,0.0219872,0.652921,0.666538,0.673374,1.0,1.0,1.0,0.362944,0.358189,0.370865,0.37977,-0.28982,-0.307648,-0.297116,-0.291718,0.599083,0.621065,0.63313,0.671905,0.0,0.0,0.0,0.0,-9999,-9999
200907,18.624,1.0,474.278,339.738,1.0,378.504,0.0,16.039,1.0,78.223,0.999328,0.005,0.0,5.129,0.999328,0.440961646424,0.997311827957,652.815932853,0.999327956989,652.815932853,0.999327956989,89.267004976,0.999327956989,374.91,1.0,23.317,1.0,3.88014,1.0,23.6808,1.0,-9999,0.896797,106.342,1.0,-9999,0.857585,0.748609,0.998656,0.0218306,0.738122,0.747798,0.756752,1.0,0.999328,0.997984,0.193524,0.192733,0.19683,0.201287,-0.552047,-0.559755,-0.551976,-0.546887,0.645779,0.680815,0.703127,0.731445,0.0,0.0,0.0,0.0,-9999,-9999
200908,16.866,1.0,433.182,198.479,1.0,369.328,0.0,11.548,1.0,78.064,1.0,0.212,0.0,3.307,1.0,0.378010586873,0.997983870968,378.585825269,0.997983870968,382.033830645,1.0,79.6209408602,1.0,363.509,1.0,22.025,1.0,1.61038,1.0,21.8718,1.0,-9999,0.895888,87.2957,1.0,-9999,0.934203,0.649663,1.0,0.0188375,0.638365,0.650111,0.659961,1.0,1.0,1.0,0.429741,0.419022,0.447792,0.476686,-0.21126,-0.229769,-0.211313,-0.19988,0.698908,0.727365,0.735707,0.7506,0.0386834,0.0348258,0.0374078,0.0400003,-9999,-9999
200909,10.024,1.0,367.706,175.169,1.0,350.619,0.0,4.745,1.0,77.812,1.0,3.096,0.0,3.445,0.967361,0.408226061449,0.965277777778,336.017401152,0.999305555556,337.010430556,1.0,47.6503819444,1.0,370.712,1.0,13.276,1.0,-3.51478,0.999306,22.6488,0.999306,-9999,0.87256,45.2387,1.0,-9999,0.785868,0.464712,1.0,0.0217763,0.454731,0.470857,0.480705,1.0,1.0,0.997917,0.445428,0.422085,0.450105,0.467824,-0.0182362,-0.0314157,-0.015622,-0.0125762,0.687924,0.632031,0.697575,0.745092,0.0,0.0,0.0,0.0,-9999,-9999
200910,10.348,1.0,288.647,205.739,1.0,327.105,0.0,6.011,1.0,77.933,0.998656,0.317,0.0,3.851,0.993952,0.371258110351,0.993279569892,395.102758298,0.998655913978,395.102758298,0.998655913978,46.7802945302,0.998655913978,385.59,1.0,11.428,1.0,-1.16334,1.0,30.8221,0.999328,-9999,0.6841,42.2166,1.0,-9999,0.69829,0.329574,0.998656,0.0199329,0.308569,0.328408,0.332735,0.998656,0.998656,0.998656,0.373353,0.354202,0.364976,0.373718,0.0453102,0.0315666,0.0391443,0.047744,0.70251,0.595544,0.70251,0.74544,0.306575,0.21065,0.30145,0.307484,-9999,-9999
200911,6.821,0.377083,218.011,143.454,0.377778,292.246,0.0,6.356,0.377083,78.023,0.363889,0.593,0.0,5.851,0.361806,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,385.745,0.377083,7.396,0.377083,-0.994516,0.377083,20.1798,0.377083,-9999,0.643647,38.2421,0.377083,-9999,1.09599,0.161687,0.377083,0.0214846,0.160433,0.162508,0.162785,0.377083,0.377083,0.377083,0.117826,0.117437,0.120011,0.125773,-0.0448048,-0.0442483,-0.0415988,-0.0356085,0.397898,0.419149,0.466753,0.486533,0.162752,0.152201,0.162482,0.177569,-9999,-9999
200912,3.544,0.730511,183.125,95.654,0.736559,294.512,0.0,3.831,0.730511,77.188,0.606183,6.306,0.0,7.818,0.597446,0.54870245946,0.554435483871,204.132819444,0.625,204.132819444,0.625,40.6101520833,0.625,388.791,0.721774,3.272,0.730511,-0.728746,0.728495,29.7607,0.518817,-9999,0.627855,-7.77571,0.719086,-9999,1.28243,0.10481,0.71707,0.0139819,0.0931106,0.105104,0.109405,0.719758,0.717742,0.717742,0.132837,0.12581,0.132837,0.134827,0.0289532,0.0210007,0.0283836,0.0369139,0.317981,0.339152,0.352238,0.362062,0.0225222,0.00995422,0.0225222,0.0782398,-9999,-9999
